[N/T]t_lib , t_string , t_brace_o , t_brace_c , t_bracket_o , t_bracket_c , t_parenthesis_o , t_parenthesis_c , t_sharp , t_comma , t_dot , t_semi_colon , t_question , t_colon , t_mod_equals , t_mod , t_multiply_equals , t_asterisk , t_plus_plus , t_plus_equals , t_plus , t_sub_sub , t_great_equals , t_sub_equals , t_sub , t_divide_equals , t_divide , t_comparation , t_assigment , t_diferent_to , t_not , t_left_desp , t_less_equals , t_less , t_rigth_desp , t_great , t_and , t_ampersand , t_or , t_bit_or , t_bit_xor_equals , t_bit_xor , t_c1_equals , t_c1 , t_kw_bool , t_kw_byte , t_kw_char , t_kw_double , t_kw_float , t_kw_int , t_kw_long , t_kw_short , t_kw_unsigned , t_kw_string , t_kw_void , t_kw_word , t_define , t_include , t_HIGH , t_LOW , t_INPUT_PULLUP , t_INPUT , t_OUTPUT , t_LED_BUILTIN , t_break , t_continue , t_do , t_while , t_else , t_for , t_if , t_return , t_switch , t_case , t_default , t_true , t_false , t_float , t_int , t_char , t_identifier , t_bit_and_equals , t_bit_or_equals , t_const , t_volatile , t_static , $
PROGRAMA,@, @, @, @, @, @, @, @,  PROGRAMA -> L_BLOQUES ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES ,@,  PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES ,@, @, @, @, @, @, @, @, @, @,  PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES ,@,  PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES ,@,  PROGRAMA -> L_BLOQUES ,@, @, @, @, @, @, @,  PROGRAMA -> L_BLOQUES ,@, @,  PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES , PROGRAMA -> L_BLOQUES ,@, 
FUNCDOT,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  FUNCDOT -> t_identifier FUNC ,@, @, @, @, @, @, 
IF_ELIF,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
IF_ELSE,@, @, @,  IF_ELSE -> e ,@, @, @, @,  IF_ELSE -> e ,@, @,  IF_ELSE -> e ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e ,@,  IF_ELSE -> e , IF_ELSE -> e ,@, @, @, @, @, @, @, @,  IF_ELSE -> e ,@,  IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> t_else BLOCKS , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e ,@, @, @, @, @, @, @,  IF_ELSE -> e ,@, @,  IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e , IF_ELSE -> e ,
SWITCH,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  SWITCH -> t_switch t_parenthesis_o VALOR_ASIG t_parenthesis_c t_brace_o N_CASE DEFAULT t_brace_c ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, 
N_CASE,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  N_CASE -> CASE N_CASEP ,@, @, @, @, @, @, @, @, @, @, @, @, @, 
CASE,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  CASE -> t_case VALOR_ASIG t_colon L_BLOQUES t_break t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, 
DEFAULT,@, @, @,  DEFAULT -> e ,@, @, @, @,  DEFAULT -> e ,@, @,  DEFAULT -> e ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e ,@,  DEFAULT -> e , DEFAULT -> e ,@, @, @, @, @, @, @, @,  DEFAULT -> e ,@,  DEFAULT -> e , DEFAULT -> e ,@,  DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e ,@,  DEFAULT -> t_default t_colon L_BLOQUES ,@, @, @, @, @,  DEFAULT -> e ,@, @,  DEFAULT -> e , DEFAULT -> e , DEFAULT -> e , DEFAULT -> e ,
DO_WHILE,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  DO_WHILE -> t_do DO_WHILEP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
WHILE,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  WHILE -> t_while t_parenthesis_o OPER_L t_parenthesis_c BLOCKS ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FOR,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  FOR -> t_for t_parenthesis_o FORDEC ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FOR_ASIG,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FOR_COND,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
VAL_ORID,@,  VAL_ORID -> VALOR ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  VAL_ORID -> VALOR , VAL_ORID -> VALOR ,@,  VAL_ORID -> VALOR , VAL_ORID -> VALOR ,@, @, @, @, @, @, @, @, @, @, @, @,  VAL_ORID -> VALOR , VAL_ORID -> VALOR , VAL_ORID -> VALOR , VAL_ORID -> VALOR , VAL_ORID -> VALOR , VAL_ORID -> t_identifier ,@, @, @, @, @, @, 
OPER_LPP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
STATEMENTDEC,@,  STATEMENTDEC -> VALOR_ASIG ,@, @, @, @,  STATEMENTDEC -> FUNC ,@, @, @,  STATEMENTDEC -> FUNC ,@, @, @,  STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon ,@,  STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon ,@,  STATEMENTDEC -> COMP_ARIT t_semi_colon , STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon ,@,  STATEMENTDEC -> COMP_ARIT t_semi_colon ,@,  STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon ,@,  STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon ,@, @,  STATEMENTDEC -> t_assigment STATEMENTDECPP ,@, @, @, @, @, @, @, @, @, @, @,  STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> VALOR_ASIG ,@,  STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> VALOR_ASIG ,@, @, @, @, @, @, @, @, @, @, @, @,  STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> VALOR_ASIG , STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon , STATEMENTDEC -> COMPOUND_OPER VALOR_ASIG t_semi_colon ,@, @, @, @, 
FOR_INC,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
RETURN,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  RETURN -> t_return RETURNP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
DEFINE,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  DEFINE -> t_define t_identifier TOK_REMP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
INCLUDE,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  INCLUDE -> t_include t_lib ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
TOK_REMP,@,  TOK_REMP -> VALOR ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  TOK_REMP -> VALOR , TOK_REMP -> VALOR ,@,  TOK_REMP -> VALOR , TOK_REMP -> VALOR ,@, @, @, @, @, @, @, @, @, @, @, @,  TOK_REMP -> VALOR , TOK_REMP -> VALOR , TOK_REMP -> VALOR , TOK_REMP -> VALOR , TOK_REMP -> VALOR , TOK_REMP -> t_identifier ,@, @, @, @, @, @, 
V_NORMALPP,@, @, @, @, @, @, @, @, @,  V_NORMALPP -> t_comma V_NORMALP ,@,  V_NORMALPP -> t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
V_NORMALP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  V_NORMALP -> t_identifier V_NORMAL ,@, @, @, @, @, @, 
V_ARRAYPP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
V_ARRAYP,@, @, @, @, @, @, @, @, @, @, @,  V_ARRAYP -> t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  V_ARRAYP -> t_assigment PARAMS t_semi_colon ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
FOR_CONDPP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
STATEMENT,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  STATEMENT -> t_identifier STATEMENTDEC ,@, @, @, @, @, @, 
OPER_AS,@,  OPER_AS -> VAL_ORID OPER_AP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  OPER_AS -> VAL_ORID OPER_AP , OPER_AS -> VAL_ORID OPER_AP ,@,  OPER_AS -> VAL_ORID OPER_AP , OPER_AS -> VAL_ORID OPER_AP ,@, @, @, @, @, @, @, @, @, @, @, @,  OPER_AS -> VAL_ORID OPER_AP , OPER_AS -> VAL_ORID OPER_AP , OPER_AS -> VAL_ORID OPER_AP , OPER_AS -> VAL_ORID OPER_AP , OPER_AS -> VAL_ORID OPER_AP , OPER_AS -> VAL_ORID OPER_AP ,@, @, @, @, @, @, 
V_ARRAYPPP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
DIMEN,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
A_INIT,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OTRO,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  OTRO -> t_kw_bool ,@,  OTRO -> t_kw_char , OTRO -> t_kw_double , OTRO -> t_kw_float , OTRO -> t_kw_int ,@,  OTRO -> t_kw_short ,@, @,  OTRO -> t_kw_void ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OPER_AP,@, @, @, @, @, @, @,  OPER_AP -> e ,@, @, @,  OPER_AP -> e ,@, @,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS , OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS ,@,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS ,@, @,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS , OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> ARIT_OPER OPER_AS ,@,  OPER_AP -> ARIT_OPER OPER_AS ,@, @, @, @, @, @, @, @, @, @, @,  OPER_AP -> COMPOUND_OPER OPER_AS ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  OPER_AP -> COMPOUND_OPER OPER_AS , OPER_AP -> COMPOUND_OPER OPER_AS ,@, @, @, @, 
OPER_LP,@, @,  OPER_LP -> e , OPER_LP -> e ,@, @, @,  OPER_LP -> e , OPER_LP -> e ,@, @,  OPER_LP -> e , OPER_LP -> t_question VAL_ORID t_colon VAL_ORID ,@, @, @, @, @, @, @, @, @,  OPER_LP -> COMP_OPER OPER_LS ,@, @, @, @,  OPER_LP -> COMP_OPER OPER_LS ,@,  OPER_LP -> COMP_OPER OPER_LS , OPER_LP -> LOGIC_OPER OPER_LS ,@,  OPER_LP -> COMP_OPER OPER_LS , OPER_LP -> COMP_OPER OPER_LS ,@,  OPER_LP -> COMP_OPER OPER_LS , OPER_LP -> LOGIC_OPER OPER_LS ,@,  OPER_LP -> LOGIC_OPER OPER_LS ,@, @, @, @, @,  OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e ,@,  OPER_LP -> e , OPER_LP -> e ,@, @, @, @, @, @, @, @,  OPER_LP -> e ,@,  OPER_LP -> e , OPER_LP -> e ,@,  OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e ,@, @, @, @, @, @, @,  OPER_LP -> e ,@, @,  OPER_LP -> e , OPER_LP -> e , OPER_LP -> e , OPER_LP -> e ,
OPER_BP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OPER_COMPOU,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OPER_COMPOUP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
OPER_COMPOUPP,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
PARAMS,@,  PARAMS -> VAL_ORID PARAMSP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP ,@,  PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP ,@, @, @, @, @, @, @, @, @, @, @, @,  PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP , PARAMS -> VAL_ORID PARAMSP ,@, @, @, @, @, @, 
OPER_LS,@,  OPER_LS -> VAL_ORID OPER_LP ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP ,@,  OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP ,@, @, @, @, @, @, @, @, @, @, @, @,  OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP , OPER_LS -> VAL_ORID OPER_LP ,@, @, @, @, @, @, 
PARAMSP,@, @,  PARAMSP -> e ,@, @, @, @,  PARAMSP -> e ,@,  PARAMSP -> t_comma PARAMS ,@,  PARAMSP -> e ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, 
BLOCKS,@, @,  BLOCKS -> t_brace_o L_BLOQUES t_brace_c ,@, @, @, @, @,  BLOCKS -> BLOQUE ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@, @, @, @, @, @, @, @, @, @,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@,  BLOCKS -> BLOQUE ,@, @, @, @, @, @, @,  BLOCKS -> BLOQUE ,@, @,  BLOCKS -> BLOQUE , BLOCKS -> BLOQUE , BLOCKS -> BLOQUE ,@, 
N_CASEP,@, @, @,  N_CASEP -> e ,@, @, @, @,  N_CASEP -> e ,@, @,  N_CASEP -> e ,@, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @, @,  N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e ,@,  N_CASEP -> e , N_CASEP -> e ,@, @, @, @, @, @, @, @,  N_CASEP -> e ,@,  N_CASEP -> e , N_CASEP -> e ,@,  N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> N_CASE , N_CASEP -> e ,@, @, @, @, @,  N_CASEP -> e ,@, @,  N_CASEP -> e , N_CASEP -> e , N_CASEP -> e , N_CASEP -> e ,
